# warm
butter1;y50;m10 y100;m25 y100;c20 m40 y80;c40 m50 y100
butter2;c5 y50;m50 y100;m100 y70;y100;c50 y100
butter3;m10 y50;k25;k50;k75;k100
butter4;m10 y60;m20 y50;c10 y50;c60 y40;c25
butter5;y70;y100 k50;m60 y100 k45;c30 m100;k50

coral1;m80 y60;m100 y100;m50 y100;m25 y00;m85
coral2;m60 y50;m10 y100;m100;c60 y40;y100 k50
coral3;m70 y30;k75;c40 m60 y100 k30;c20 m20 y20;c10 m10 y20
coral4;m40 y20;c20 m5;c5 y50;y70;c20 y20
coral5;m50 y50;10-10-20;k50;k50;k100

fuchsia1;m100;30-100-0;0-60-50;0-50-10;0-100-100
fuchsia2;c10 m100;0-10-100;0-100-100;50-0-100;c70
fuchsia3;c15 m85;k75;k25;k5;k100
fuchsia4;m85;c5 y50;c40 y30;c25 y100;m40 y20
fuchsia5;m100 y30;c90 m100 y15;c100 m20 y100;c100 m70;0-100-100-20

ochre1;20-45-100;10-0-80;0-10-100;0-25-100
ochre2;15-30-100;0-70-100;m100;0-10-100;50-0-100
ochre3;20-40-100;k25;k50;k75;k100
ochre4;20-40-80;10-0-50;0-50-20;c25
ochre5;40-50-100;y100 k50;28-80-100-15

orange1;0-70-100;25-80-100-15;40-0-100-60;20-40-100
orange2;0-85-100;25-0-100-25;60-0-40;0-100-100;0-10-10
orange3;10-80-100;0-0-100-60;40-25-100;25-15-60;10-0-50
orange4;0-50-100;0-30-40;0-0-70
orange5;0-30-100;k25;k50;k75;k100

peach1;0-60-60;20-40-80;0-10-100;0-25-100;25-80-100-15
peach2;0-30-40;50-20-0;60-0-40;30-20-100;m100
peach3;0-40-70;0-0-20-75;40-40-40;15-30-30;15-15-45
peach4;0-20-50;0-0-50;20-0-20;m15;c25
peach5;0-50-50;20-20-20;40-40-40;15-15-45;10-10-20

pink1;0-50-10;0-80-60;0-60-50;0-85-0;30-70-0
pink2;0-40-20;15-0-100;100-0-0-30;0-0-70
pink3;0-65-25;0-100-100;90-100-15;100-0-100;0-35-100
pink4;0-30-0;60-0-40;40-0-40;20-0-20;c25
pink5;m15;0-10-10-10;0-80-80;c5

purple1;70-100-0;10-0-80;0-10-100;0-25-100;20-40-100
purple2;90-100-0;0-70-100;0-100-0
purple3;70-100-0-50;0-0-100-50;25-80-100-15;90-100-15;100-70-0
purple4;40-60-0;0-50-20;25-0-0
purple5;50-100-0;k25;k50;k75;k100

red1;0-100-100;0-50-100;0-80-60;0-100-0;0-25-100
red2;0-100-70;0-10-100;100-50-0;k50;k100
red3;0-90-100;k25;k50;k75;k100
red4;0-100-100-30;0-0-100-50;25-80-100-15;k75;90-100-15
red5;0-100-80-20;25-15-60;5-0-50;40-50-100;0-10-100-10

scarlet1;0-100-100-20;30-0-100-60;0-90-100;25-80-100-15
scarlet2;0-100-80-30;90-100-15;100-70-0
scarlet3;0-100-100-50;k25;k50;k75;k100
scarlet4;50-100-100;50-40-100-10;30-0-70;0-0-100-80
scarlet5;0-100-80-30;0-100-0;0-70-100;0-100-70;0-60-50

violet1;30-100-0;0-70-100;0-100-0;0-10-100;50-0-100
violet2;50-100-0;c70;60-0-40;y100;y100 k50
violet3;20-100-0;k25;k50;k75;k100
violet4;40-100-30;10-10-20;10-0-50;0-50-20;k25
violet5;30-70-0;90-100-15;100-70-0;m100;0-100-100

yellow1;0-20-100;y70;0-25-100;20-40-100
yellow2;0-10-100;100-90-0;0-100-100;k50
yellow3;0-35-100;k25;k50;k75;k100
yellow4;0-0-100;10-0-50;c25
yellow5;0-10-100-10;20-20-20;0-0-20-75;40-60-100-30;20-80-100-60

# cold

avocado1;40-0-100-60;25-80-100-15;0-70-100;0-0-50;20-40-100
avocado2;45-20-100;c30;0-10-100;k25
avocado3;30-0-100-60;k25;k50;k75;k100
avocado4;50-40-100-10;25-0-100-25;15-0-100
avocado5;0-0-100-80;0-0-100-50;0-60-100-45;90-100-15-0;100-70-0

blue1;100-50-0;0-0-100-50;25-80-100-15;90-100-15;100-70-0
blue2;100-90-0;0-70-100;0-10-100;50-0-100
blue3;100-50-0-30;k25;k50;k75;k100
blue4;50-0-0-50;0-10-100;0-25-100
blue5;100-0-0-30;c70;60-0-40;50-20-0;c25

chartreuse1;50-0-100;25-15-60;50-40-100-10;30-0-70
chartreuse2;25-0-100;c70;60-0-40;50-20-0;c25
chartreuse3;15-0-100;k25;k50;k75;k100
chartreuse4;25-0-100-25;10-0-80;0-10-100;0-25-100;20-40-100
chartreuse5;30-0-70;c70;60-0-40;y100;m100

green1;100-0-100;60-0-40;20-0-20;c25
green2;70-0-100;20-100-0;0-70-100;0-10-100;70-0-10
green3;100-20-100;k25;k50;k75;k100
green4;50-20-100;0-10-100;0-0-10
green5;100-0-100-50;30-95-100-35;25-65-100-10;20-40-100;20-20-20

lightblue1;c70;60-0-40;45-20-10;50-0-100;y100
lightblue2;70-0-10;0-65-25;0-70-100;0-10-100-10;k25
lightblue3;50-20-0;k25;k50;k75;k100
lightblue4;c30;y100;y10
lightblue5;20-5-0;10-0-50;0-10-100;0-20-50;k25

mint1;40-0-30;c30;0-80-60
mint2;30-0-50;60-0-40;70-0-10;40-0-40;50-20-100
mint3;60-0-40;k25;k50;k75;k100
mint4;40-0-40;0-0-100-50;15-15-45;k50
mint5;20-0-20;10-0-80;0-20-50;c25;0-50-20

olive1;10-0-100-30;30-0-100-60;15-30-100;15-15-45;20-0-50
olive2;30-20-100;0-0-20-75;40-60-100-30
olive3;0-0-100-60;k25;k50;k75;k100
olive4;40-25-100;60-0-40;0-65-25;0-70-100
olive5;25-15-60;15-15-45;10-10-20;15-30-30

turquoise1;60-0-20;0-0-100-50;25-80-100-15;90-100-15;100-70-0
turquoise2;50-0-40;0-100-0;0-10-100
turquoise3;80-0-40;k25;k50;k75;k100
turquoise4;30-0-20;0-20-50;10-0-50;0-50-20;c25
turquoise5;60-0-10;10-0-80;0-10-100;0-25-100

# neutrals

beige1;5-10-20;25-15-60;y50;k5
beige2;20-20-20;y50
beige3;15-20-40-10;k25;k50;k75;k100
beige4;15-15-45;20-40-100;10-80-100;0-60-100-45;k25
beige5;15-30-30;20-0-20;20-5-0;y50;m15

black1;k100;k0
black2;50-50-50-100;0-100-100;k25;0-10-100
black3;60-70-50-70;k25;k50;k75;k100
black4;35-0-0-90;0-90-100;k0
black5;0-20-85-90;y50;15-15-45;k25

brown1;0-60-100-45;0-25-100;0-70-100;y50;20-40-100
brown2;30-95-100-35;0-10-100;k25;k5
brown3;30-80-100-60;k25;k50;k75;k100
brown4;40-60-100-30;25-0-100-25;15-0-100;100-50-0-30
brown5;25-65-100-15;0-0-100-50;0-100-100-50;90-100-15;100-70-0

grey1;k50;k0
grey2;k75;0-100-100;k25;0-10-100
grey3;20-20-20;k25;k50;k75;k100
grey4;0-0-20-75;0-90-100;k0
grey5;k90;y50;15-15-45;k25

white1;k0;k100
white2;0-5-0-0;20-0-20;k25;y50
white3;y10;k25;k50;k75;k100
white4;k5;0-80-100;k100
white5;c5;15-15-45;k25

# specoalities

fluorescent1;r255 g233;k0
fluorescent2;r255 g233;r255 g63 b180;k100
fluorescent3;r255 g233;k25;k50;k75;k100
fluorescent4;r255 g63 b180;30-100-0;0-70-100;0-100-100;y100
fluorescent5;r255 g63 b180;y50


